admin1Name_fr,admin1Pcode,admin1RefName,Total ,admin0Name_fr,admin0Pcode,Féminin_per_cent,Féminins,Masculin_per_cent,Masculin,T_00_17_per_cent,T_00_17,T_18_59_per_cent,T_18_59,T_60_plus_per_cent,T_60_plus,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80_plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80_plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80_plus
Bubanza,BDI001,Bubanza,494106,Burundi,BDI,48.40%,239078,51.60%,255028,47.50%,234701,49.20%,242855,3.30%,16549,48895,34250,24502,28899,24834,18256,11657,11324,7865,7431,6062,3291,2819,1570,1732,708,1112,49438,34027,24129,28371,27064,23510,14173,12788,9505,9007,7075,4454,3061,1899,1585,823,1007,98333,68277,48631,57270,51898,41766,25830,24112,17370,16438,13137,7745,5880,3469,3317,1531,2119
Bujumbura Mairie,BDI017,Bujumbura Mairie,726733,Burundi,BDI,44.70%,324787,55.30%,401946,39.10%,283933,58.10%,422563,2.80%,20237,46956,44719,42278,38815,35484,30118,23287,17869,12143,8739,6168,4430,3108,2203,1508,1023,1349,45090,44832,44573,44314,45857,41982,35933,29184,20727,15261,10503,7249,4525,2810,1539,714,1173,92046,89551,86851,83129,81341,72100,59220,47053,32870,24000,16671,11679,7633,5013,3047,1737,2522
Bujumbura Rural,BDI002,Bujumbura Rural,679448,Burundi,BDI,50.70%,344418,49.30%,335030,50.00%,339929,45.80%,311087,4.20%,28432,58594,47398,42489,43600,33675,25324,16874,15327,12822,12251,9640,6667,4767,3163,2863,1550,1870,57554,47294,42949,43736,33034,22902,15698,14801,12296,11604,9259,6027,4728,2917,2902,1408,1862,116148,94692,85438,87336,66709,48226,32572,30128,25118,23855,18899,12694,9495,6080,5765,2958,3732
Bururi,BDI003,Bururi,457677,Burundi,BDI,51.50%,235507,48.50%,222170,50.10%,229288,44.30%,202918,5.60%,25471,35278,33869,32087,30968,22311,14797,10541,10688,8949,8327,6791,4218,3925,2667,2456,1423,2426,33108,31540,30319,29014,21438,14478,10285,10558,8679,7632,6407,3815,3816,2548,2316,1258,2275,68386,65409,62406,59982,43749,29275,20826,21246,17628,15959,13198,8033,7741,5215,4772,2681,4701
Cankuzo,BDI004,Cankuzo,334554,Burundi,BDI,50.90%,170338,49.10%,164216,50.50%,168944,45.00%,150391,4.50%,15219,30932,25234,21716,19702,15577,12186,8429,7423,6402,5464,4424,2745,2260,1515,1460,716,1412,30046,24301,20788,18293,14092,11135,8289,7198,6400,5964,4813,3269,2288,1662,1399,836,1456,60978,49535,42504,37995,29669,23321,16718,14621,12802,11428,9237,6014,4548,3177,2859,1552,2868
Cibitoke,BDI005,Cibitoke,673042,Burundi,BDI,50.30%,338509,49.70%,334533,50.80%,341862,46.20%,310646,3.10%,20534,67027,50885,40024,40240,33197,24813,16831,15462,11948,10176,7965,4543,3668,2032,1881,953,1408,66199,49978,38766,38028,29064,25012,17569,15714,12831,11877,9242,5893,3968,2477,1574,1084,1198,133226,100863,78790,78268,62261,49825,34400,31176,24779,22053,17207,10436,7636,4509,3455,2037,2606
Gitega,BDI006,Gitega,1060096,Burundi,BDI,52.20%,553629,47.80%,506467,47.20%,500072,48.20%,510990,4.60%,49033,85259,67639,69935,72879,56839,41719,27745,25073,22544,20845,17485,10728,8515,5336,5495,2594,4118,82432,63859,64112,62583,47803,38682,26211,23123,20968,20291,16837,11179,7509,4865,4076,2470,3362,167691,131498,134047,135462,104642,80401,53956,48196,43512,41136,34322,21907,16024,10201,9571,5064,7480
Karuzi,BDI007,Karuzi,637972,Burundi,BDI,51.80%,330675,48.20%,307297,51.60%,328986,44.30%,282841,4.10%,26145,59142,48160,42485,42170,31859,23039,14965,14266,11223,10538,9208,5142,4570,2303,2541,1244,2511,57327,46692,39317,36239,27201,21603,13906,12730,10487,10422,9001,6056,4158,2443,2188,1386,2432,116469,94852,81802,78409,59060,44642,28871,26996,21710,20960,18209,11198,8728,4746,4729,2630,4943
Kayanza,BDI008,Kayanza,855729,Burundi,BDI,51.80%,443576,48.20%,412153,49.00%,419086,46.20%,395421,4.80%,41223,73693,62353,56455,52670,41488,31795,21544,20086,17941,16026,13543,8002,6452,4171,4286,2056,3895,70691,60081,52593,45770,34295,29381,20200,18616,16691,16208,14003,8868,6060,4215,3576,2435,3494,144384,122434,109048,98440,75783,61176,41744,38702,34632,32234,27546,16870,12512,8386,7862,4491,7389
Kirundo,BDI009,Kirundo,918354,Burundi,BDI,51.60%,474288,48.40%,444066,50.10%,460026,45.90%,421462,4.00%,36865,91249,68731,57262,50715,47299,35398,24550,21367,16323,14584,12721,6863,6358,3563,4269,2019,3398,87415,65001,52959,46607,37869,32740,23975,21066,16593,16519,13073,8151,5298,3698,2932,2229,2580,178664,133732,110221,97322,85168,68138,48525,42433,32916,31103,25794,15014,11656,7261,7201,4248,5978
Makamba,BDI010,Makamba,629867,Burundi,BDI,50.20%,316424,49.80%,313443,51.50%,324109,44.80%,282431,3.70%,23328,59327,48223,41065,37291,29142,22834,15304,15313,11300,9228,7233,3968,3551,2165,2273,1108,2003,58421,47295,39713,35313,25899,22611,16671,15451,11781,11015,8319,5252,3929,2444,2124,1228,2174,117748,95518,80778,72604,55041,45445,31975,30764,23081,20243,15552,9220,7480,4609,4397,2336,4177
